Sport_ID,Sport_Q,Sport_A
1,Which football club has won the most UEFA Champions League titles?,Real Madrid
2,Which boxer beat Joe Frazier on the 1st of October 1975?,Muhammad Ali
3,Which country has won the Rugby Union World Cup the most times?,South Africa
4,Which of the four tennis grand slam tournmanets are played on grass?,Wimbledon
5,How many points is a bullseye worth in darts?,50
6,Who scored a hatrick in the final of the Mens World Cup 2022?,Kylian Mbappe
7,In which country was the first winter olympic games held in?,France
8,What sport is played on a diamond pitch?,Basketball
9,Who holds the record for most number of runs in both test and ODI cricket?,Sachin Tendulkar
10,Which country has won the most Summer Olympic gold medals,United States
